Pathway	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
Retinol metabolism [PATH:ko00830]	38249.12000000001	41686.40000000001	46764.280000000006	45522.759999999995	45838.67	45079.33	29136.15	36522.92999999999	40105.740000000005	32433.13	36820.54	35405.95	43329.16	47635.41	42341.759999999995	45299.91	47966.79	42165.05
Retrograde endocannabinoid signaling [PATH:ko04723]	1421.67	942.0	1695.33	1621.0	1964.67	1507.67	663.6700000000001	519.0	1161.3400000000001	956.67	878.0	776.6700000000002	1112.0	1499.67	938.33	1165.65	1356.99	997.67
Riboflavin metabolism [PATH:ko00740]	111476.35999999999	124477.12000000001	137657.32	136228.91999999998	131476.09999999998	133613.37	89214.81999999999	111156.36	125729.29000000001	97439.19000000002	106750.70999999999	112307.29000000001	135881.6	145708.66	129151.08	135440.65	141138.47	127273.71000000004
Ribosome [BR:ko03011]	836465.1299999994	904779.2000000002	1022807.7299999994	990146.5600000008	995536.400000001	976221.2600000004	696112.6800000002	859223.1099999996	948655.7600000004	737732.18	809822.4799999996	857339.7199999999	1020334.6499999997	1100456.8900000006	991110.68	1011307.8199999991	1039177.5100000007	970624.6199999992
Ribosome [PATH:ko03010]	836124.3799999994	904535.3700000003	1022427.2299999994	989763.8100000008	995100.9000000008	975655.6800000004	695826.8500000003	858840.7799999997	948206.0100000005	737385.4300000002	809112.0599999996	856904.7299999997	1020010.3199999996	1100096.3900000008	990712.6799999999	1010635.4899999991	1038781.8400000008	970116.3699999992
Ribosome biogenesis [BR:ko03009]	729832.6099999998	729106.26	865465.72	859202.8200000003	903432.3500000002	862910.2200000004	572432.6500000003	693546.0100000002	778710.7300000002	626328.7900000002	674883.14	713551.09	837981.1999999995	928937.36	811373.3199999998	822247.9700000002	866289.0500000004	809079.7099999996
Ribosome biogenesis in eukaryotes [PATH:ko03008]	30999.69	33500.490000000005	36761.23	35974.18	36811.58	35525.31	24392.339999999997	29824.36	33541.04	26415.59	29812.34	29998.79	38124.15	40865.08	36157.41	37153.35	39484.53999999999	35721.45
Salivary secretion [PATH:ko04970]	5125.87	5498.58	7224.13	6316.0	5473.87	5952.23	3191.36	4934.98	8248.68	5206.03	4202.65	4726.049999999998	6343.91	6547.82	5022.83	6116.08	5717.77	5260.81
Salmonella infection [PATH:ko05132]	106481.67	105444.54	130667.25999999998	126121.73999999999	134987.49	126713.05000000002	78255.25	100401.44	117527.43000000001	89865.69	97112.98999999999	98827.03	122735.92	137288.11	115618.82	120711.05000000002	126652.57999999999	116949.40000000002
Secondary bile acid biosynthesis [PATH:ko00121]	17905.489999999994	15057.83	21113.72	21254.11	25703.82	21665.13	12170.44	14271.63	16665.75	13829.77	15181.720000000003	15828.929999999998	17896.989999999998	21569.74	17263.58	17663.96	19984.94	17711.57
Secondary metabolism	11599.54	11533.41	13946.1	14208.220000000001	14150.15	14087.710000000001	7110.780000000001	8981.2	12428.16	9678.39	9781.25	9750.93	12517.33	13883.64	10882.42	12652.569999999998	15014.09	11112.920000000002
Secretion system [BR:ko02044]	1051292.8699999994	901994.4400000003	1144396.0299999996	1230613.9199999992	1373382.5100000005	1299399.2700000019	693066.5000000003	781862.6699999999	971819.6400000007	807716.3000000002	862880.009999999	926615.7300000001	1076015.6599999992	1283643.19	1015749.6499999987	1047911.7599999997	1137977.3900000006	1026464.280000001
