#OTUID	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
8aed870ab19e643617d65fc44f917fb7	30.0	0.0	61.0	30.0	51.0	0.0	24.0	57.0	18.0	19.0	43.0	20.0	0.0	0.0	31.0	54.0	69.0	48.0
5f771cc2c61ffa72d6af2b9e7c6f386d	30.0	57.0	75.0	50.0	34.0	52.0	14.0	0.0	25.0	13.0	24.0	27.0	20.0	17.0	34.0	37.0	24.0	22.0
ee61e09bc74ab2b81c9d538e5ee52460	30.0	24.0	68.0	27.0	11.0	24.0	31.0	16.0	34.0	17.0	31.0	0.0	42.0	29.0	42.0	40.0	34.0	53.0
812d8d353e94d4b488b5ce8c61fafc9e	20.0	13.0	0.0	15.0	8.0	11.0	32.0	26.0	65.0	58.0	35.0	26.0	43.0	56.0	43.0	55.0	26.0	20.0
be6c881cc3db5dcd38a4fab924aed05c	39.0	0.0	36.0	52.0	49.0	75.0	42.0	0.0	0.0	0.0	0.0	0.0	56.0	48.0	0.0	43.0	82.0	0.0
b8b6733bd2d375d373664d1a76925f7c	49.0	54.0	35.0	48.0	38.0	71.0	0.0	0.0	42.0	0.0	0.0	0.0	32.0	62.0	39.0	0.0	49.0	0.0
1dbb04cf7d715c165eb4b830ce575c51	33.0	0.0	38.0	0.0	48.0	32.0	0.0	31.0	47.0	53.0	52.0	47.0	0.0	33.0	0.0	37.0	37.0	31.0
10704f8f8f28be0412fd41d5ae6ee135	23.0	16.0	26.0	29.0	24.0	27.0	23.0	16.0	30.0	22.0	26.0	19.0	24.0	44.0	38.0	57.0	42.0	28.0
32518f0117b52bed3a21e579ee466d32	32.0	0.0	16.0	30.0	44.0	19.0	32.0	21.0	29.0	36.0	34.0	17.0	15.0	29.0	44.0	58.0	31.0	26.0
226502d6970add75e9ea9acf36078577	52.0	87.0	0.0	0.0	0.0	285.0	0.0	0.0	0.0	44.0	0.0	44.0	0.0	0.0	0.0	0.0	0.0	0.0
fe1c3883e1ed8e7e258382c19568b892	0.0	42.0	20.0	0.0	16.0	0.0	32.0	44.0	30.0	29.0	38.0	62.0	47.0	0.0	45.0	38.0	34.0	31.0
51f6d05304201e4f7f417a29aa80ccf0	44.0	47.0	51.0	42.0	56.0	0.0	0.0	0.0	0.0	0.0	47.0	0.0	0.0	37.0	52.0	44.0	44.0	42.0
e6b96bf188ad0307fc33b7cf98a363f9	24.0	29.0	0.0	0.0	0.0	0.0	24.0	40.0	24.0	19.0	0.0	45.0	97.0	12.0	46.0	65.0	0.0	78.0
fa46d0e63b0f4630e1d830ad737a14d4	15.0	21.0	45.0	35.0	43.0	36.0	20.0	28.0	13.0	20.0	43.0	21.0	0.0	22.0	29.0	22.0	50.0	40.0
92fed0fe21cec652c6bb733b03d12b61	59.0	0.0	56.0	51.0	80.0	69.0	0.0	0.0	21.0	0.0	0.0	0.0	25.0	0.0	33.0	20.0	24.0	51.0
b71f34d024707701229a86923f8da50a	28.0	22.0	25.0	17.0	10.0	29.0	40.0	25.0	26.0	23.0	32.0	60.0	20.0	18.0	29.0	13.0	33.0	33.0
0d2b01b152d17321e8f16dba9820c343	28.0	0.0	23.0	42.0	0.0	22.0	37.0	32.0	31.0	20.0	26.0	45.0	22.0	33.0	36.0	16.0	28.0	42.0
a69bc4197c381cdec1538ed67eb20f7a	16.0	43.0	15.0	0.0	4.0	40.0	21.0	48.0	23.0	32.0	26.0	23.0	57.0	19.0	28.0	23.0	22.0	37.0
ff06c1a4f2c06b670ff5c7648496fb9b	13.0	33.0	21.0	42.0	26.0	0.0	0.0	56.0	27.0	20.0	42.0	33.0	29.0	27.0	32.0	22.0	28.0	25.0
0bae39922cb0fba09faf24d6b37a26c5	17.0	61.0	0.0	60.0	0.0	41.0	0.0	0.0	0.0	0.0	0.0	293.0	0.0	0.0	0.0	0.0	0.0	0.0
a6dae0ea1b001760e9ff2aaf9b233158	39.0	28.0	0.0	0.0	0.0	10.0	29.0	19.0	32.0	31.0	32.0	21.0	33.0	33.0	61.0	37.0	35.0	31.0
1d667ccee5e06e1ebf0f25422f888604	24.0	18.0	28.0	0.0	20.0	36.0	12.0	43.0	81.0	44.0	27.0	0.0	31.0	33.0	38.0	31.0	0.0	0.0
