Feature	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Description
EC:4.2.99.20	456.51864471194	-0.0587323068583469	0.224610408817182	44.1662637566644	2.56695161178536e-10	1.2403043469672e-08	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
EC:3.2.1.58	1214.27880305314	-0.614297074816535	0.122785876357624	43.9670619030002	2.83578835656663e-10	1.33975245468014e-08	Glucan 1,3-beta-glucosidase
EC:2.1.1.37	12033.9512767746	0.363615306183273	0.0669683950053437	43.1877959749785	4.18686792490243e-10	1.93506113224838e-08	DNA (cytosine-5-)-methyltransferase
EC:3.5.1.47	224.960959279567	-1.09598910437921	0.399938393670635	42.9981248753143	4.60336930175804e-10	2.08229002883778e-08	N-acetyldiaminopimelate deacetylase
EC:2.3.1.89	222.550388515661	-1.09507730789964	0.397910587943158	42.9414059403188	4.73578717935811e-10	2.09755907152403e-08	Tetrahydrodipicolinate N-acetyltransferase
EC:1.1.2.3	11088.6854938953	-0.166810333675162	0.0472708063391299	42.6706248318137	5.42239995750439e-10	2.35265761421517e-08	L-lactate dehydrogenase (cytochrome)
EC:2.5.1.49	19164.309717381	-0.108635478475213	0.0363080026848082	42.6083645757487	5.59385482240356e-10	2.37850707048599e-08	O-acetylhomoserine aminocarboxypropyltransferase
EC:4.2.2.5	77.484041445569	0.25892002420948	0.425467228067287	42.1460530393098	7.04856753945021e-10	2.93828521350415e-08	Chondroitin AC lyase
EC:3.4.19.11	460.900551647922	-1.2285752613021	0.387016899873893	41.1122731353281	1.18190703970847e-09	4.83218147388499e-08	Gamma-D-glutamyl-meso-diaminopimelate peptidase
EC:5.1.1.13	7564.89934557557	-0.308047878383547	0.070477462821609	40.880338572795	1.32723330073485e-09	5.32395848558921e-08	Aspartate racemase
EC:1.1.1.320	200.330534818775	-1.03141181328933	0.425910041777566	40.5655247260164	1.55348916295731e-09	6.11614437119859e-08	Benzil reductase ((S)-benzoin forming)
EC:1.2.1.2	27042.4574833069	-0.146083898240289	0.0422390003387088	40.0120597067291	2.04876256401007e-09	7.91939856560985e-08	Formate dehydrogenase
EC:1.14.15.3	2720.63601979262	-0.232150405569747	0.0846675525453764	38.586837826826	4.17805958037209e-09	1.58617047640555e-07	Alkane 1-monooxygenase
EC:5.3.1.12	2264.40098517833	-0.330558358463013	0.0691129746886576	38.2782540399769	4.87509122433075e-09	1.81832349875915e-07	Glucuronate isomerase
EC:1.14.19.9	11449.8318771285	-0.611349166443147	0.146640550777748	37.7827660213472	6.24563504071761e-09	2.28934829251132e-07	Tryptophan 7-halogenase
EC:2.5.1.32	16226.2499585626	-0.052854737680194	0.0318036195495443	37.3384028874927	7.79953715786803e-09	2.81047728773346e-07	15-cis-phytoene synthase
EC:1.4.1.4	3854.184155535	0.296912435353495	0.0996082323225732	36.5621798612652	1.14980321842428e-08	4.0741360706167e-07	Glutamate dehydrogenase (NADP(+))
EC:2.1.1.79	26142.3512023445	-0.0898629950967138	0.0248611594585577	36.3048443190722	1.30768524332425e-08	4.55760463493009e-07	Cyclopropane-fatty-acyl-phospholipid synthase
EC:6.3.2.2	17035.9446437187	-0.140534455390348	0.0480760364702283	36.1100106684214	1.44148727398293e-08	4.94290636207696e-07	Glutamate--cysteine ligase
EC:2.6.1.83	1212.45940025903	1.01153783456194	0.237285328169128	36.0458101144815	1.48851009986089e-08	5.02313090841945e-07	LL-diaminopimelate aminotransferase
EC:4.1.1.32	10386.3983215267	-0.0025361385019764	0.0375418481001262	36.0089371716048	1.51620751053033e-08	5.03665182404295e-07	Phosphoenolpyruvate carboxykinase (GTP)
EC:5.2.1.4	12260.6924908373	-0.0223907909238499	0.0362463009818245	35.9614382469812	1.5526476274688e-08	5.07835208615179e-07	Maleylpyruvate isomerase
EC:4.1.1.64	2596.12406494258	-0.212497736270027	0.0856895929386246	35.8546671597998	1.6377890041728e-08	5.27566579222936e-07	2,2-dialkylglycine decarboxylase (pyruvate)
EC:3.6.3.12	34182.1505713988	-0.09200114416066	0.0317258377813485	35.8009877249817	1.68234201885837e-08	5.33829721207894e-07	Potassium-transporting ATPase
